DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,TOXCAST ACTIVE,TOXCAST TOTAL,% TOXCAST ACTIVE,HIT CALL,CONTINUOUS HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
DTXSID6045086,Estradiol phosphate,4995-43-1,C18H25O5P,352.143961,6,78,8,Active,1,104.70136411638899,5.2350682058194495,0.00032725387205700637,-3.4851152061888397
DTXSID0046806,Testosterone isocaproate,15262-86-9,C25H38O3,386.282095,13,78,17,Active,1,90.38039174743439,4.519019587371719,8.61798391072541,0.9354056789505742
DTXSID2045151,Egtazic Acid,67-42-5,C14H24N2O10,380.143095,5,244,2,Active,1,100.44366910025812,5.022183455012906,0.00006959323038037718,-4.157433003944545
DTXSID4021478,Lynestrenol,52-76-6,C20H28O,284.214016,280,474,59,Active,1,86.55651725540997,4.327825862770498,0.09485391410083838,-1.0229447434540426
DTXSID3021069,Norethynodrel,68-23-5,C20H26O2,298.193280,13,93,14,Active,1,111.45466122663635,5.572733061331817,0.013124960752490712,-1.8819019865888396
DTXSID2022381,meso-Hexestrol,84-16-2,C18H22O2,270.161980,335,722,46,Active,1,101.60575575837737,5.080287787918868,0.00012430619444086784,-3.905507229005525
DTXSID7022382,Dienestrol,84-17-3,C18H18O2,266.130680,47,244,19,Active,1,103.23691318179236,5.161845659089618,0.0007787770430270203,-3.108586859198276
DTXSID2045367,Epitiostanol,2363-58-8,C19H30OS,306.201737,8,78,10,Active,1,134.60114713673096,6.730057356836548,0.7059988164183609,-0.15119602702667442
DTXSID9022998,Estradiol benzoate,50-50-0,C25H28O3,376.203845,12,78,15,Active,1,107.2273408294667,5.3613670414733345,0.0008302529562467309,-3.080789569352755
DTXSID3040770,"(Z,E)-Diethylstilbestrol",6898-97-1,C18H20O2,268.146330,51,256,20,Active,1,89.25307320222292,4.462653660111146,0.0022068807422962328,-2.6562211350585834
DTXSID8022329,Epitestosterone,481-30-1,C19H28O2,288.208930,12,78,15,Active,1,92.67916000912328,4.633958000456164,9.130963212796162,0.9605165930805859
